"","year","site","variety","tree","branch","rn","1","2","3","4","5","6","7","8","9","10","11","12","AUDPCm"
"1",2016,"agaro","74110",1,"bot",1,0,13,18,18,17,20.1238461538462,16.8938461538462,0,0,0,0,0,103.017692307692
"2",2016,"agaro","74110",1,"mid",1,0,9.83222222222222,12.2022222222222,13.3222222222222,11.0822222222222,7.69222222222222,4.46222222222222,0,0,0,0,0,58.5933333333333
"3",2016,"agaro","74110",1,"top",1,0,3.51598290598291,5.88598290598291,7.00598290598291,4.76598290598291,3.56,0,0,0,0,0,0,24.7339316239316
"4",2016,"agaro","74110",2,"bot",1,0,14,16,18,15,21.3674358974359,18.1374358974359,0,0,0,0,0,102.504871794872
"5",2016,"agaro","74110",2,"mid",1,0,14.0971794871795,16.4671794871795,17.5871794871795,15.3471794871795,11.9571794871795,8.72717948717948,0,0,0,0,0,84.1830769230769
"6",2016,"agaro","74110",2,"top",1,0,7.97752136752137,10.3475213675214,11.4675213675214,9.22752136752137,5.83752136752137,0,0,0,0,0,0,44.8576068376069
"7",2016,"agaro","74110",3,"bot",1,0,11,17,18,14,19.5640170940171,16.3340170940171,0,0,0,2.75213675213675,0,98.6501709401709
"8",2016,"agaro","74110",3,"mid",1,0,11.152735042735,13.522735042735,14.642735042735,12.402735042735,9.01273504273504,5.78273504273504,0,0,0.470085470085469,0,0,66.9864957264957
"9",2016,"agaro","74110",3,"top",1,0,6.11854700854701,8.48854700854701,9.60854700854701,7.36854700854701,3.97854700854701,0,0,0,0,0,0,35.562735042735
"10",2016,"agaro","74112",1,"bot",1,0,17.4238461538462,19.7938461538462,18,18.6738461538462,15.2838461538462,12.0538461538462,0,0,4.74358974358974,1.52564102564102,0,107.498461538462
"11",2016,"agaro","74112",1,"mid",1,0,4.99222222222223,7.36222222222223,8.48222222222223,6.24222222222223,2.85222222222223,0,0,0,0,0,0,29.9311111111111
"12",2016,"agaro","74112",1,"top",1,0,0,1.04598290598291,2,0,0,0,0,0,0,0,0,3.04598290598291
"13",2016,"agaro","74112",2,"bot",1,0,18.6674358974359,21.0374358974359,18,19.9174358974359,16.5274358974359,13.2974358974359,7.3174358974359,2.1,0,1.05128205128205,0,117.915897435897
"14",2016,"agaro","74112",2,"mid",1,0,9.25717948717948,11.6271794871795,12.7471794871795,10.5071794871795,7.11717948717948,3.88717948717948,0,0,0,0,0,55.1430769230769
"15",2016,"agaro","74112",2,"top",1,0,3.13752136752137,5.50752136752137,6.62752136752137,4.38752136752137,0,0,0,0,0,0,0,19.6600854700855
"16",2016,"agaro","74112",3,"bot",1,0,16.8640170940171,19.2340170940171,20.3540170940171,18.1140170940171,14.7240170940171,11.4940170940171,0,0,4.6025641025641,1.38461538461538,0,106.771282051282
"17",2016,"agaro","74112",3,"mid",1,0,6.31273504273504,8.68273504273504,9.80273504273504,7.56273504273504,4.17273504273504,0,0,0,0,0,0,36.5336752136752
"18",2016,"agaro","74112",3,"top",1,0,1.27854700854701,3.64854700854701,4.76854700854701,2.52854700854701,0,0,0,0,0,0,0,12.224188034188
"19",2016,"agaro","74140",1,"bot",1,0,11,18.9038461538462,20.0238461538462,17.7838461538462,14.3938461538462,11.1638461538462,5.18384615384616,3,1.2,2.3,0,104.953076923077
"20",2016,"agaro","74140",1,"bot",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",2016,"agaro","74140",1,"mid",1,0,4.10222222222223,6.47222222222223,7.59222222222223,5.35222222222223,1.96222222222223,0,0,0,0,0,0,25.4811111111111
"22",2016,"agaro","74140",1,"mid",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",2016,"agaro","74140",1,"top",1,0,0,0.155982905982907,1.27598290598291,0,0,0,0,0,0,0,0,1.43196581196581
"24",2016,"agaro","74140",1,"top",2,0,0,0,0,0,0,0,4.62153846153846,0,0,0,0,4.62153846153846
"25",2016,"agaro","74140",2,"bot",1,0,12,14,13,19.0274358974359,15.6374358974359,12.4074358974359,6.4274358974359,3,2.1,3.23,0,100.829743589744
"26",2016,"agaro","74140",2,"bot",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",2016,"agaro","74140",2,"mid",1,0,8.36717948717948,10.7371794871795,11.8571794871795,9.61717948717948,6.22717948717948,2.99717948717948,0,0,1.02136752136752,0,0,50.8244444444444
"28",2016,"agaro","74140",2,"mid",2,0,0,0,0,0,0,0,7.9548717948718,0,0,0,0,7.9548717948718
"29",2016,"agaro","74140",2,"top",1,0,2.24752136752137,4.61752136752137,5.73752136752137,3.49752136752137,0,0,0,0,0,0,0,16.1000854700855
"30",2016,"agaro","74140",2,"top",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",2016,"agaro","74140",3,"bot",1,0,15.9740170940171,18.3440170940171,19.4640170940171,17.2240170940171,13.8340170940171,10.6040170940171,4.62401709401709,2,0,2.13,0,104.19811965812
"32",2016,"agaro","74140",3,"bot",2,0,0,0,0,0,0,0,15.6471794871795,0,0,0,0,15.6471794871795
"33",2016,"agaro","74140",3,"mid",1,0,5.42273504273505,7.79273504273505,8.91273504273505,6.67273504273505,3.28273504273505,0,0,0,0,2.33333333333334,0,34.4170085470086
"34",2016,"agaro","74140",3,"mid",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",2016,"agaro","74140",3,"top",1,0,0,2.75854700854701,3.87854700854701,1.63854700854701,0,0,0,0,0,0.0427350427350411,0,8.31837606837607
"36",2016,"agaro","74140",3,"top",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",2016,"agaro","74148",1,"bot",1,0,20.9938461538462,14,16,16,12,15.6238461538462,0,0,0,0,0,94.6176923076923
"38",2016,"agaro","74148",1,"mid",1,0,8.56222222222222,10.9322222222222,12.0522222222222,9.81222222222222,6.42222222222222,3.19222222222222,0,0,0,0,0,50.9733333333334
"39",2016,"agaro","74148",1,"top",1,0,2.24598290598291,4.61598290598291,5.73598290598291,3.49598290598291,0,0,0,0,1.1,0,0,17.1939316239316
"40",2016,"agaro","74148",2,"bot",1,0,22.2374358974359,14,18,17,20.0974358974359,16.8674358974359,0,0,4.765,2.75213675213675,0,115.719444444444
"41",2016,"agaro","74148",2,"mid",1,0,12.8271794871795,15.1971794871795,16.3171794871795,14.0771794871795,6,7.45717948717948,0,0,0,0,0,71.8758974358974
"42",2016,"agaro","74148",2,"top",1,0,6.70752136752137,9.07752136752137,10.1975213675214,7.95752136752137,4.56752136752137,0,0,0,0,0,0,38.5076068376069
"43",2016,"agaro","74148",3,"bot",1,0,20.4340170940171,22.8040170940171,18,21.6840170940171,18.2940170940171,15.0640170940171,9.0840170940171,2.1,0,2.71367521367521,0,130.177777777778
"44",2016,"agaro","74148",3,"mid",1,0,9.88273504273504,12.252735042735,13.372735042735,11.132735042735,7.74273504273504,4.51273504273504,0,0,0,0,0,58.8964102564102
"45",2016,"agaro","74148",3,"top",1,0,4.84854700854701,7.21854700854701,8.33854700854701,6.09854700854701,2.70854700854701,0,0,0,0,0,0,29.2127350427351
"46",2016,"agaro","7440",1,"bot",1,0,18.1338461538462,20.5038461538462,14,19.3838461538462,15.9938461538462,12.7638461538462,0,0,2.12,0.89,0,103.789230769231
"47",2016,"agaro","7440",1,"mid",1,0,5.70222222222223,8.07222222222223,9.19222222222223,6.95222222222223,3.56222222222223,0,0,0,0,0,0,33.4811111111111
"48",2016,"agaro","7440",1,"top",1,0,0,1.75598290598291,2.87598290598291,0.635982905982907,0,0,0,0,0,0,0,5.26794871794872
"49",2016,"agaro","7440",2,"bot",1,0,19.3774358974359,21.7474358974359,14,20.6274358974359,17.2374358974359,14.0074358974359,8.0274358974359,2.1,1.2,0.98,0,119.304615384615
"50",2016,"agaro","7440",2,"mid",1,0,9.96717948717948,12.3371794871795,13.4571794871795,11.2171794871795,2,4.59717948717948,0,0,0,0,0,53.5758974358974
"51",2016,"agaro","7440",2,"top",1,0,3.84752136752137,6.21752136752137,7.33752136752137,5.09752136752137,1.70752136752137,0,0,0,0,0,0,24.2076068376069
"52",2016,"agaro","7440",3,"bot",1,0,17.5740170940171,19.9440170940171,15,18.8240170940171,15.4340170940171,12.2040170940171,0,0,2.1,1.2,0,102.280085470085
"53",2016,"agaro","7440",3,"mid",1,0,7.02273504273504,9.39273504273504,10.512735042735,8.27273504273504,4.88273504273504,0,0,0,1.2,0,0,41.2836752136752
"54",2016,"agaro","7440",3,"top",1,0,1.98854700854701,4.35854700854701,5.47854700854701,3.23854700854701,0,0,0,0,0,0,0,15.064188034188
"55",2016,"agaro","7454",1,"bot",1,0,2,2,7,7,2,2,0,0,0,2.75213675213675,0,24.7521367521367
"56",2016,"agaro","7454",1,"mid",1,0,1,1,5,6,1,1,0,0,0,0,0,15
"57",2016,"agaro","7454",1,"top",1,0,1,1,4,3,1,1,0,1.2,0,0,0,12.2
"58",2016,"agaro","7454",2,"bot",1,0,4,4,4,4,4,4,0,0,0,0,0,24
"59",2016,"agaro","7454",2,"mid",1,0,2,5,5,4.67717948717948,2,2,0,2.1,0,0,0,22.7771794871795
"60",2016,"agaro","7454",2,"top",1,0,3,3,3,1,3,3,0,0,0,0,0,16
"61",2016,"agaro","7454",3,"bot",1,0,3,4,4,4,2,3,0,3.1,0,2.76068376068376,0,25.8606837606838
"62",2016,"agaro","7454",3,"mid",1,0,2,5,5,5,2,2,0,0,0,0,0,21
"63",2016,"agaro","7454",3,"top",1,0,0,2,2,2,0,0,0,0,0,0,0,6
"64",2016,"agaro","F-35",1,"bot",1,0,16.9038461538462,19.2738461538462,20.3938461538462,18.1538461538462,14.7638461538462,11.5338461538462,0,0,2.51282051282051,0,0,103.535897435897
"65",2016,"agaro","F-35",1,"mid",1,0,4.47222222222223,6.84222222222223,7.96222222222223,5.72222222222223,2.33222222222223,0,0,0,0,0,0,27.3311111111111
"66",2016,"agaro","F-35",1,"top",1,0,0,0.525982905982907,1.64598290598291,0,0,0,0,0,0,0,0,2.17196581196581
"67",2016,"agaro","F-35",2,"bot",1,0,18.1474358974359,20.5174358974359,21.6374358974359,19.3974358974359,16.0074358974359,12.7774358974359,6.7974358974359,2.3,4.64957264957265,1.43162393162393,0,123.663247863248
"68",2016,"agaro","F-35",2,"mid",1,0,8.73717948717948,11.1071794871795,12.2271794871795,9.98717948717948,6.59717948717948,3.36717948717948,0,0,0,0,0,52.0230769230769
"69",2016,"agaro","F-35",2,"top",1,0,2.61752136752137,4.98752136752137,6.10752136752137,3.86752136752137,0,0,0,0,0,0,0,17.5800854700855
